question,indic
q_038,Я знаю миссию и стратегию нашей Компании.
q_039,"Я верю, что стратегия нашей Компании приведет ее к успеху."
q_006,"Я понимаю, как результаты моей работы влияют на общий результат работы Компании."
q_011,"Я не испытываю недостатка в информации, необходимой для моей работы."
q_040,В нашей Компании работа организована эффективно и оптимально регламентирована.
q_041,Моя зона ответственности и задачи четко определены.
q_024,Компания обеспечивает меня всеми необходимыми ресурсами для эффективного выполнения работы.
q_031,Моя работа приносит пользу людям.
q_015,"Мне интересна работа, которую я выполняю в Компании."
q_032,Моя работа позволяет мне максимально реализовывать свои способности.
q_033,"Когда я выполняю свою работу, я чувствую прилив энергии."
q_025,"Я чувствую выгорание, постоянную усталость и раздражение от работы."
q_023,Между различными подразделениями нашей Компании установлены партнерские конструктивные отношения.
q_042,"У меня есть возможность донести любую информацию, в том числе негативную, до руководства."
q_013,В Компании я получаю достаточно возможностей для обучения и профессионального развития.
q_043,"Я знаю, что мне нужно сделать для карьерного роста."
q_018,В нашей Компании инициативные и эффективные сотрудники имеют возможность для карьерного роста.
q_007,"Я смогу зарабатывать больше, если буду работать более интенсивно и эффективно."
q_016,Уровень моих доходов соответствует моему профессиональному уровню и личному вкладу в общий результат.
q_010,"Я понимаю, как в нашей Компании оценивают эффективность моей работы."
q_048,"Меня устраивает социальный пакет, который Компания предлагает сотрудникам."
q_014,Наша Компания обеспечивает комфортные условия труда для своих сотрудников.
q_027,"Я получаю достаточно признания и похвалы, когда хорошо делаю свою работу."
q_028,Наша Компания мотивирует сотрудников добиваться максимальных результатов.
q_004,Наша Компания ценит и удерживает высокопрофессиональных сотрудников.
q_029,Ценности нашей Компании согласуются с моими личными ценностями.
q_002,В своей повседневной работе я придерживаюсь ценностей Компании.
q_008,Я могу добиться устранения барьеров в организации работы.
q_036,"В нашей Компании поощряются инициативы, направленные на улучшение работы."
q_026,Я могу самостоятельно принимать решения в рамках своей зоны ответственности без избыточного контроля со стороны своего руководителя.
q_037,"В своей работе я стараюсь делать больше, чем от меня требуется."
q_044,Мне нравится атмосфера в нашей Компании.
q_012,Я доверяю профессионализму моих коллег и обращаюсь к ним за советом в сложных вопросах.
q_045,В нашей Компании между сотрудниками доброжелательные и позитивные отношения.
q_046,Мой непосредственный руководитель успешно организует работу нашего подразделения.
q_047,Мой руководитель является неформальным лидером в нашем коллективе.
q_017,Мой руководитель поддерживает предложения сотрудников по оптимизации работы и помогает их внедрению.
q_003,"Я доверяю решениям, которые принимаются топ-менеджерами нашей Компании."
q_030,Наша Компания всегда выполняет свои обязательства перед сотрудниками.
q_005,Я рекомендую нашу Компанию своим друзьям и знакомым как хорошего работодателя.
q_019,Я планирую покинуть Компанию в течение ближайшего года.
q_022,"Когда меня спрашивают, я с гордостью называю Компанию, в которой работаю."
q_034,"Я готов браться за неприятные для меня задачи, если это необходимо для успеха Компании."
q_035,"Я переживаю за успехи и трудности своей Компании, даже если они не затрагивают меня лично."
q_021,"Я готов прикладывать значительные усилия, чтобы сделать карьеру в Компании."
